CANDIDATE_ID,ARCHITECTURE,DOMAIN,STATUS,REASON
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,BIOLOGICAL_ALIGNMENT,PASS,Uses the frozen Rice and MAD windows without modification.
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,CAMPAIGN_ATTRIBUTION_IDENTIFICATION,PASS,Only cohorts already unambiguously assigned by frozen harvest bounds enter the point exposure.
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,MEASUREMENT_INTERPRETABILITY,PASS_WITH_LIMITATION,"The estimand is conditional on identified observed SIEMBRA, not the entire campaign."
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,SIEMBRA_WEIGHT_INTEGRITY,PASS_WITH_LIMITATION,The conditional denominator is explicit; ambiguous mass and absent expected rows remain visible.
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,CLIMATE_WINDOW_COMPLETENESS,PASS,All positive contributing assigned weight must have all nine climate metrics.
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,TEMPORAL_BOUNDARY_INTEGRITY,PASS,Only the seven D0 campaigns are constructed; 2015/2016 is excluded.
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,DISTRICT_CAMPAIGN_SUPPORT,PASS_WITH_LIMITATION,"608 of 707 structural keys have positive complete assigned weight, with limitations disclosed by key."
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,SUSCEPTIBILITY_TO_SELECTION,PASS_WITH_LIMITATION,Identification fractions vary and must be retained in later design and reporting.
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,FUTURE_SCENARIO_COMPATIBILITY,PASS_WITH_LIMITATION,Historical weights can be held fixed; future-calendar assumptions require a later scenario gate.
E1-C2,UNAMBIGUOUS_ASSIGNED_COHORT_CONDITIONAL_SIEMBRA_WEIGHTED_EXPOSURE,REPRODUCIBILITY,PASS,The rule is deterministic from frozen B1 and structural D0 keys.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,BIOLOGICAL_ALIGNMENT,PASS,Frozen windows are retained.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,CAMPAIGN_ATTRIBUTION_IDENTIFICATION,NOT_IDENTIFIED,Ambiguous weight has no frozen single-campaign assignment.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,MEASUREMENT_INTERPRETABILITY,NOT_IDENTIFIED,No unique campaign-level point exposure follows.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,SIEMBRA_WEIGHT_INTEGRITY,PASS_WITH_LIMITATION,Ambiguous mass can be retained only as unresolved QA.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,CLIMATE_WINDOW_COMPLETENESS,PASS,Cohort climate values are available when windows are complete.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,TEMPORAL_BOUNDARY_INTEGRITY,PASS,Campaign boundaries remain unchanged.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,DISTRICT_CAMPAIGN_SUPPORT,NOT_IDENTIFIED,Point-exposure support is undefined without an attribution rule.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,SUSCEPTIBILITY_TO_SELECTION,PASS_WITH_LIMITATION,"No assignment is induced, but no point estimand exists."
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,FUTURE_SCENARIO_COMPATIBILITY,NOT_IDENTIFIED,A scenario point exposure would require a new ambiguity rule.
E1-C3,AMBIGUITY_PRESERVING_PARTIAL_IDENTIFICATION_WITHOUT_ASSIGNMENT,REPRODUCIBILITY,PASS,The blocked determination is reproducible.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,BIOLOGICAL_ALIGNMENT,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,CAMPAIGN_ATTRIBUTION_IDENTIFICATION,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,MEASUREMENT_INTERPRETABILITY,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,SIEMBRA_WEIGHT_INTEGRITY,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,CLIMATE_WINDOW_COMPLETENESS,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,TEMPORAL_BOUNDARY_INTEGRITY,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,DISTRICT_CAMPAIGN_SUPPORT,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,SUSCEPTIBILITY_TO_SELECTION,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,FUTURE_SCENARIO_COMPATIBILITY,NOT_IDENTIFIED,No additional frozen candidate exists.
E1-C4,NO_ADDITIONAL_FROZEN_ARCHITECTURE,REPRODUCIBILITY,NOT_IDENTIFIED,No additional frozen candidate exists.
