"EVIDENCE_ID","DOMAIN","CLAIM","SOURCE_TIER","SOURCE_AUTHORITY","SOURCE_TITLE","SOURCE_DATE","SOURCE_URL","LOCAL_SOURCE_PATH","SPATIAL_UNIT","TEMPORAL_UNIT","TARGET_CROP","EVIDENCE_STATUS","EVIDENCE_FINDING","LIMITATION","NOTES"
"C0B-E011","PCR","PCR 2024-2025 reports prior programmed regional agricultural areas by crop group and agency.","TIER_1","GORE_PIURA_DRAP","Resolucion Directoral Regional N. 285-2024/Gobierno Regional Piura-DRA-DR","2024-10-03","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/6071379-n-285-2024-gobierno-regional-piura-dra-dr","","Agencias Agrarias","2024-08 to 2025-07","ALL","CERTIFIED_EXACT_OFFICIAL","The resolution reports 291633 ha total: 78946 permanent, 62288 semipermanent and 150399 transient by agency.","Does not establish district-level maxima or farmer-level obligations.","PDF was scanned; visual inspection of pages 3-4 was used."
"C0B-E012","PCR","PCR 2025-2026 annex identifies all five target crops at agency resolution.","TIER_1","GORE_PIURA_DRAP","Anexo 01 Programacion de Siembras Campana Agricola 2025-2026","2025-09-18","https://cdn.www.gob.pe/uploads/document/file/8769098/7251258-resolucion-395.pdf?v=1759422107","","Agencias Agrarias","2025-08 to 2026-07","ALL","CERTIFIED_EXACT_OFFICIAL","Visual inspection identified rice 51527 ha, maize amarillo duro 15384 ha, mango 30842 ha, limon sutil 18555 ha, platano organico 8115 ha and platano convencional 5694 ha.","Crop programming is agency-level and cannot be used as district constraints without spatial adjudication.","Figures are evidence reconnaissance only."
"C0B-E013","WATER_AVAILABILITY","Chira-Piura PADH 2025-2026 gives system-level multisectoral water availability and agrarian allocation.","TIER_1","ANA","ANA aprueba plan hidrico para garantizar el abastecimiento multisectorial en el sistema Chira Piura","2025-08-11","https://www.gob.pe/institucion/ana/noticias/1224425-ana-aprueba-plan-hidrico-para-garantizar-el-abastecimiento-multisectorial-en-el-sistema-chira-piura","","Hydraulic system Chira Piura / provinces Piura and Sechura","2025-08 to 2026-07","ALL","CERTIFIED_EXACT_OFFICIAL","ANA reports projected availability 3630.69 Hm3, consumptive demand 2149.53 Hm3 and agrarian allocation 2073.14 Hm3.","Not a district-level crop water constraint; no allocation weights are authorized.","Critical warning: district division by area share is NOT_AUTHORIZED."
"C0B-E014","WATER_AVAILABILITY","PCR 2025-2026 relies on multiple ANA PADH approvals for Alto Piura, Chira Piura and San Lorenzo systems.","TIER_2","GORE_PIURA_DRAP","Resolucion Directoral Regional N. 395-2025/Gobierno Regional Piura-DRA-DR","2025-09-18","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/7251258-n-395-2025-gobierno-regional-piura-dra-dr","","Hydraulic systems and Agencias Agrarias","2025-08 to 2026-07","ALL","SUPPORTED_PRIMARY_OFFICIAL","The resolution cites ANA resolutions approving PADH for hydraulic systems relevant to Alto Piura, Chira Piura and San Lorenzo.","System references do not produce a UBIGEO district crosswalk.","Confirms water architecture is multi-system."
"C0B-E015","HYDRAULIC_SYSTEM","Piura contains multiple hydraulic systems, not only Poechos/Chira-Piura.","TIER_1","ANA_CRHC_CHIRA_PIURA","Oportunidad de aprovechamiento y uso - Infraestructura hidraulica","undated","https://crhc.ana.gob.pe/chira-piura/ambito-de-gestion/oportunidad-de-aprovechamiento-y-uso","","Council management area / hydraulic systems","Current institutional description","ALL","CERTIFIED_EXACT_OFFICIAL","The CRHC page lists three systems in its area: Sistema Hidraulico Chira Piura, Sistema Hidraulico San Lorenzo and Sistema Hidraulico Alto Piura.","Does not map each UBIGEO district to hydraulic service areas.","Critical warning: Poechos represents all Piura districts is FALSE."
"C0B-E016","HYDRAULIC_SYSTEM","San Lorenzo has a distinct hydraulic planning process and reservoir evidence.","TIER_2","ANA","Piura: inician estudio para evaluar la capacidad de almacenamiento del reservorio San Lorenzo","2026-07-16","https://www.gob.pe/institucion/ana/noticias/1419962-piura-inician-estudio-para-evaluar-la-capacidad-de-almacenamiento-del-reservorio-san-lorenzo","","Reservorio San Lorenzo / Junta de Usuarios San Lorenzo","2026 field study for PADH","ALL","SUPPORTED_PRIMARY_OFFICIAL","ANA states a bathymetric study in San Lorenzo will support PADH planning and water distribution among uses.","Does not provide district crop water allocations.","Confirms San Lorenzo cannot be collapsed into Poechos."
"C0B-E017","HYDRAULIC_SYSTEM","Chira-Piura, San Lorenzo, Medio/Bajo Piura, Alto Piura, Sechura and Chira user organizations appear as distinct operational actors.","TIER_3","MIDAGRI_AGRORURAL","Minagri: Agro Rural y Junta de Usuarios de Piura muestran avances en descolmatacion de canales y drenes","2021","https://www.gob.pe/institucion/agrorural/noticias/525729-minagri-agro-rural-y-junta-de-usuarios-de-piura-muestran-avances-en-descolmatacion-de-canales-y-drenes","","Juntas de Usuarios / hydraulic valleys","Maintenance intervention period","ALL","SUPPORTED_PRIMARY_OFFICIAL","The official note names user-board actors for Alto Piura, San Lorenzo, Medio y Bajo Piura, Sechura and Chira.","Does not provide a geospatial service-area to district crosswalk.","Used only as supporting context."
"C0B-E018","WATER_SPATIAL_CROSSWALK","No official district allocation rule for system-level PADH water was identified in C0B.0.","TIER_1","ANA_AND_REPOSITORY_INVENTORY","PADH and repository inventory for water-to-district linkage","2025-2026","https://www.gob.pe/institucion/ana/noticias/1224425-ana-aprueba-plan-hidrico-para-garantizar-el-abastecimiento-multisectorial-en-el-sistema-chira-piura","","Hydraulic system versus district UBIGEO","2025-08 to 2026-07","ALL","UNRESOLVED","Available official evidence is at hydraulic-system, agency or user-organization scale; no reproducible UBIGEO district allocation weights were accepted.","Major future model-design limitation: relationship remains UNKNOWN and likely many-to-many.","No area-share, crop-share, population-share or equal-division allocation is authorized."
"C0B-E019","WATER_SPATIAL_CROSSWALK","PCR agency areas are not district UBIGEO crosswalks.","TIER_1","GORE_PIURA_DRAP","PCR 2025-2026 and PCR 2024-2025 annexes","2024-2025 and 2025-2026","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/7251258-n-395-2025-gobierno-regional-piura-dra-dr","","Agencias Agrarias","Campaign year","ALL","CERTIFIED_EXACT_OFFICIAL","PCR annexes organize crop programs by Agencias Agrarias and crop groups/crops.","A separate official agency-to-district or irrigation-service-area crosswalk is required before district constraints.","Classified CROSSWALK_REQUIRED for model use."
"C0B-E020","IRRIGATION_STATUS","PCR 2024 distinguishes coast agencies with water-balance support from sierra agencies whose agriculture depends on rainfall.","TIER_1","GORE_PIURA_DRAP","Resolucion Directoral Regional N. 285-2024/Gobierno Regional Piura-DRA-DR","2024-10-03","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/6071379-n-285-2024-gobierno-regional-piura-dra-dr","","Agencias Agrarias costa/sierra","2024-2025 campaign","ALL","CERTIFIED_EXACT_OFFICIAL","Visual inspection confirms the plan says coast agencies are sustained by hydric-balance analysis, while sierra agencies do not present a water balance and their crop installation/growth is linked to rainfall.","Does not identify irrigated/rainfed hectares by UBIGEO and crop.","Critical warning: all agricultural land in Piura is irrigated is UNRESOLVED/FALSE as a blanket assumption."
"C0B-E021","IRRIGATION_STATUS","MNSA land area does not identify irrigated service area or rainfed status.","TIER_1","MIDAGRI","MIDAGRI MNSA 2024 / RM 0026-2025-MIDAGRI","2025","https://www.gob.pe/institucion/midagri/normas-legales/6426915-0026-2025-midagri","data/processed/land_physical.csv","District UBIGEO","2024","ALL","UNRESOLVED","MNSA supplies district agricultural surface, but C0B.0 found no irrigated/rainfed split in the local land_physical artifact.","Cannot infer all agricultural hectares are irrigated.","Requires official irrigation-service-area or rainfed-land crosswalk."
"C0B-E022","CROP_WATER_REQUIREMENT","FAO56 provides technical method evidence for crop evapotranspiration and crop coefficients.","TIER_4","FAO","Crop evapotranspiration - Guidelines for computing crop water requirements - FAO Irrigation and Drainage Paper 56","1998","https://www.fao.org/4/x0490e/x0490e00.htm","","Nonspatial technical standard","Generic method","ALL","SUPPORTED_TECHNICAL","FAO56 is a technical standard for computing reference and crop evapotranspiration from weather data and crop coefficients.","It is not an official Piura allocation rule and coefficients were not constructed in C0B.0.","May support sensitivity design only after local climate/crop/soil linkage."
"C0B-E023","CROP_WATER_REQUIREMENT","Crop water need depends on climate, crop type and growth stage; local duration data are preferred.","TIER_4","FAO","Chapter 2: Crop water needs","undated","https://www.fao.org/4/s2022e/s2022e02.htm","","Nonspatial technical training material","Generic method","ALL","SUPPORTED_TECHNICAL","FAO states crop water need depends on climate, crop type and growth stage; examples cover maize, paddy rice, banana and citrus-like crops and note local growing-period data are preferable.","Mango and limon would still require local Piura agronomic adaptation; no coefficients are frozen.","Cannot become a hard district water constraint in C0B.0."
"C0B-E024","PERENNIAL_INERTIA","PCR 2025 classifies mango and limon under permanent crops and platano under semipermanent crops.","TIER_1","GORE_PIURA_DRAP","Anexo 01 Programacion de Siembras Campana Agricola 2025-2026","2025-09-18","https://cdn.www.gob.pe/uploads/document/file/8769098/7251258-resolucion-395.pdf?v=1759422107","","Agencias Agrarias / crop categories","2025-2026 campaign","MANGO;LEMON;BANANA","CERTIFIED_EXACT_OFFICIAL","Visual inspection of PCR annex places mango and limon sutil in C. permanentes and platano convencional/organico in C. semi-permanentes.","Classification supports inertia but not numerical adjustment percentages.","No delta_P or delta_A is set."
"C0B-E025","PERENNIAL_INERTIA","Frozen phenology architecture distinguishes transient cohort crops from perennial/continuous crops.","TIER_2","REPOSITORY_FROZEN_PHENOLOGY","phenology_windows_frozen.csv","v1","", "data/processed/phenology/phenology_windows_frozen.csv","Crop architecture","Frozen v1","ALL","SUPPORTED_PRIMARY_OFFICIAL","Rice and maize amarillo duro are sowing-cohort weighted; mango is seasonal perennial; limon is recurrent perennial broad; banana is multistage continuous.","This is architecture evidence, not a land-adjustment coefficient.","Upstream phenology was read only."
"C0B-E026","PERENNIAL_INERTIA","Current installed crop stock is not fully certified for district crop constraints.","TIER_1","REPOSITORY_FROZEN_STAGE_B","panel_master.csv VERDE_ACTUAL inventory","2016-2023","", "data/processed/panel_master.csv","District UBIGEO x crop","Annual 2016-2023","MANGO;LEMON;BANANA","UNRESOLVED","VERDE_ACTUAL is present and positive for most perennial/semipermanent target rows, but C0B.0 does not independently certify its physical unit as hectares.","Cannot be used silently as installed hectares.","Requires independent C0B evidence before hard inertia constraints."
"C0B-E027","ADJUSTMENT_CAPACITY","Historical area changes could support empirical calibration later but do not provide official bounds.","TIER_1","REPOSITORY_FROZEN_STAGE_B","panel_master.csv historical target-crop areas","2016-2023","", "data/processed/panel_master.csv","District UBIGEO x crop","Annual","ALL","PROXY_ONLY","Observed SIEMBRA/HARVEST_AREA/VERDE_ACTUAL history can be used to study empirical changes after a separate protocol.","No bound is estimated in C0B.0 and historical changes may reflect shocks, reporting and market responses.","Future bounds are EMPIRICALLY_CALIBRATED or SENSITIVITY_ONLY, not direct official."
"C0B-E028","ADJUSTMENT_CAPACITY","PCR 2024 and 2025 programs show campaign-to-campaign changes at agency/category scale.","TIER_1","GORE_PIURA_DRAP","PCR 2024-2025 and PCR 2025-2026 regional annex summaries","2024-2025 and 2025-2026","https://www.gob.pe/institucion/regionpiura-dra/normas-legales/6071379-n-285-2024-gobierno-regional-piura-dra-dr","","Agencias Agrarias / crop categories","Campaign year","ALL","PROXY_ONLY","Programmed totals differ between 291633 ha in 2024-2025 and 259690 ha in 2025-2026, with category and agency detail.","This is planning evidence, not a validated adjustment-capacity constraint.","Can inform future sensitivity ranges only after crosswalk."
"C0B-E029","ECONOMIC_COST","The frozen panel includes farm-gate price information but not production cost, gross margin, net return or profit.","TIER_1","REPOSITORY_FROZEN_STAGE_B","panel_master.csv economic fields inventory","2016-2023","", "data/processed/panel_master.csv","District UBIGEO x crop","Annual","ALL","CERTIFIED_EXACT_OFFICIAL","The local panel contains PRECIO and production/area fields, but no cost, margin, profit or return fields.","C0B.0 does not build GVP or monetary outcomes and does not authorize profit optimization.","Future objective support is weak unless cost evidence is added."
"C0B-E030","ECONOMIC_COST","Official operational cost evidence for all five target crops and Piura was not established in C0B.0.","TIER_3","OFFICIAL_SOURCE_RECONNAISSANCE","Official cost-source reconnaissance","2026-08-14","", "","Piura / Peru","Current evidence reconnaissance","ALL","UNRESOLVED","C0B.0 found price/proxy and scattered program/business-plan style evidence but no reproducible complete cost-budget source covering all five crops at Piura district scale.","Net-return or profit objective is unsupported at this stage.","Only gross-revenue or area-risk objectives could be explored later with explicit caveats; none is built now."
"C0B-E031","SPATIAL_SCALE","District-level strategic allocation is more defensible than parcel-level layout.","TIER_1","REPOSITORY_AND_OFFICIAL_SYNTHESIS","C0B spatial-scale synthesis from land, PCR and hydraulic-system evidence","2026-08-14","", "data/processed/land_physical.csv; data/processed/panel_master.csv","District UBIGEO versus agencies/hydraulic systems","Evidence synthesis","ALL","SUPPORTED_PRIMARY_OFFICIAL","Land and panel data are district-coded, while PCR and water evidence are agency/system coded; no parcel geometries or parcel-level farmer decision data are present.","District scale still requires crosswalks for water/PCR evidence.","Parcel-level precision is excluded."
"C0B-E032","SPATIAL_SCALE","Official evidence confirms mismatches among districts, Agencias Agrarias, hydraulic systems, Juntas and commissions.","TIER_2","ANA_CRHC_AND_GORE_PIURA_DRAP","CRHC hydraulic systems plus PCR annexes","2024-2026","https://crhc.ana.gob.pe/chira-piura/ambito-de-gestion/oportunidad-de-aprovechamiento-y-uso","","Mixed institutional spatial units","Current / campaign","ALL","SUPPORTED_PRIMARY_OFFICIAL","CRHC describes multiple hydraulic systems; PCR reports by agencies; local data use UBIGEO districts.","Crosswalks are required before converting institutional evidence into district constraints.","Relationship is not one-to-one by default."
